18:26:21.808 [main] INFO  testClass.AccountRegistration -  *** started User Registration and shopping process *** 
18:26:26.460 [main] INFO  testClass.AccountRegistration - User Registered
18:26:34.567 [main] INFO  testClass.AccountRegistration - Provided user details
18:26:38.620 [main] INFO  testClass.AccountRegistration - User entered card details
18:26:41.599 [main] INFO  testClass.AccountRegistration - confirmed order and captured order number in screenshot
18:26:43.538 [main] INFO  testClass.AccountRegistration - *** Finished shopping process and signed off ***
18:26:47.474 [main] INFO  testClass.Loginuser - *** start user login process ***
18:26:48.334 [main] INFO  testClass.Loginuser - User logged in successfully
18:27:51.565 [main] INFO  testClass.Loginuser - *** start user login process ***
18:27:53.731 [main] INFO  testClass.Loginuser - User logged in successfully
19:19:46.591 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
19:19:48.452 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
19:20:02.787 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
19:20:06.394 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
19:20:20.904 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
19:20:22.080 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
19:20:24.699 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
19:20:24.702 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
19:20:25.748 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
19:20:28.442 [main] INFO  testClass.LoginDataDrivenTesting - Data Driven Tests completed successfully
19:24:20.876 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
19:24:23.024 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
19:24:37.097 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
19:24:39.287 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
19:24:53.655 [main] INFO  testClass.LoginDataDrivenTesting - *** start user login process ***
19:24:54.808 [main] INFO  testClass.LoginDataDrivenTesting - User logging started successfully
